Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,Tactile 3x4x2mm TS-A010,1,UBOOT,
"C1, C11, C12, C13, C17, C2, C22, C23, C24, C25, C26, C3, C4, C5, C6, C7, C8",0603,17,10uf,
"C10, C15, C16, C9",0603,4,0.1uF,
"C18, C19, C21",0603,3,10u,
C20,0805,1,2.2uF,
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D12, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D13, D130, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",0603,128,LED_Small_Filled,
D67,D_SMA,1,SS34,
D68,0603,1,POW_LED,
"IC1, IC10, IC11, IC12, IC13, IC14, IC15, IC16, IC17, IC2, IC3, IC4, IC5, IC6, IC7, IC8",74HC595DQ100118,16,74HC595D,
IC9,SOIC127P600X175-9N,1,TP4056,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
"J2, J3",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2, B2B-PH-SM4-TB(LF)(SN) ,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"LED1, LED2",0603,2,CHG,
"R1, R10, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R11, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R12, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R13, R130, R131, R132, R133, R134, R135, R136, R137, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R65, R67, R69, R7, R70, R71, R77, R78, R79, R8, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R9, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99",0603,130,1K,
"R66, R68",0603,2,10K,
"R74, R75",0603,2,1.3K,
R76,0603,1,470R,
RST1,Tactile 3x4x2mm TS-A010,1,RST,
Rprog1,0603,1,3.3K,
"U1, U3",SOT23_AH3572-SA-7_DIO,2,AH3572-SA-7,
U2,ESP32-WROOM-32,1,ESP32-WROOM-32D,
U4,ESSOP-10_3.9x4.9mm_P1.00mm,1,ch340k,
U5,SOT-363_SC-70-6,1,DDC114TU-7-F,
U6,0603,1,100K,
U7,SOT-23,1,AO3041,
U8,SOT-223-3_TabPin2,1,AMS1117-3.3,
